song_name,artist_name,played_at,timestamp
Realla,TOKiMONSTA,2024-08-07T17:40:06.181Z,2024-08-07T17:40:06.181Z
OOOUUU,Young M.A,2024-08-03T01:30:32.868Z,2024-08-03T01:30:32.868Z
The Last Dance,Sushin Shyam,2024-08-03T01:22:00.682Z,2024-08-03T01:22:00.682Z
The Last Dance,Sushin Shyam,2024-08-03T00:48:37.985Z,2024-08-03T00:48:37.985Z
Big Dawgs,Hanumankind,2024-08-03T00:11:36.180Z,2024-08-03T00:11:36.180Z
Magalenha,Sérgio Mendes,2024-08-02T23:33:38.809Z,2024-08-02T23:33:38.809Z
Indiado,Sérgio Mendes,2024-08-02T04:06:22.891Z,2024-08-02T04:06:22.891Z
Magalenha,Sérgio Mendes,2024-08-02T03:14:43.385Z,2024-08-02T03:14:43.385Z
Indiado,Sérgio Mendes,2024-08-02T02:26:39.736Z,2024-08-02T02:26:39.736Z
Magalenha,Sérgio Mendes,2024-08-02T02:22:23.757Z,2024-08-02T02:22:23.757Z
Indiado,Sérgio Mendes,2024-08-02T01:37:00.534Z,2024-08-02T01:37:00.534Z
Magalenha,Sérgio Mendes,2024-08-02T01:32:44.516Z,2024-08-02T01:32:44.516Z
Magalenha,Sérgio Mendes,2024-08-02T01:17:50.110Z,2024-08-02T01:17:50.110Z
Magalenha,Sérgio Mendes,2024-08-02T00:18:18.779Z,2024-08-02T00:18:18.779Z
What Is This?,Sérgio Mendes,2024-08-01T00:54:58.236Z,2024-08-01T00:54:58.236Z
Indiado,Sérgio Mendes,2024-08-01T00:38:40.690Z,2024-08-01T00:38:40.690Z
Magalenha,Sérgio Mendes,2024-08-01T00:34:24.673Z,2024-08-01T00:34:24.673Z
Magalenha,Sérgio Mendes,2024-07-31T23:59:56.868Z,2024-07-31T23:59:56.868Z
Magalenha,Sérgio Mendes,2024-07-31T23:43:35.817Z,2024-07-31T23:43:35.817Z
Samba Sujo,Born Dirty,2024-07-31T23:22:42.364Z,2024-07-31T23:22:42.364Z
